plot_id,true_label,prob_class_1,thresholded_label,thresholded_misclassified
3035,0,0.09975903,0,0
3036,1,0.18376562,0,1
3037,0,0.32202715,1,1
3038,0,0.4426241,1,1
3039,0,0.22774383,0,0
3040,0,0.2769777,0,0
3043,0,0.28864405,0,0
3044,0,0.07744129,0,0
3045,0,0.21987045,0,0
3046,0,0.37593725,1,1
3047,1,0.12622677,0,1
3048,0,0.12646243,0,0
3049,0,0.08711725,0,0
3050,0,0.10549262,0,0
3051,0,0.10950877,0,0
3052,0,0.096707046,0,0
3053,0,0.38623196,1,1
3054,0,0.2117979,0,0
3055,0,0.0582747,0,0
3056,0,0.11844871,0,0
3057,1,0.13995513,0,1
3058,0,0.21906973,0,0
3059,1,0.22248672,0,1
3060,0,0.029108614,0,0
3061,0,0.12163473,0,0
3801,1,0.23828484,0,1
3802,1,0.3455935,1,0
3803,0,0.8345272,1,1
3804,1,0.390155,1,0
3832,1,0.632276,1,0
3833,1,0.68363553,1,0
3834,0,0.7981895,1,1
3835,1,0.3511878,1,0
2543,0,0.31485197,1,1
2544,1,0.9233186,1,0
2545,1,0.352249,1,0
2546,0,0.21852158,0,0
2547,0,0.22497967,0,0
2548,0,0.19089678,0,0
2549,1,0.496613,1,0
2550,0,0.7394236,1,1
2551,0,0.41136324,1,1
2554,1,0.6659339,1,0
2555,1,0.6796509,1,0
2556,1,0.742296,1,0
2557,0,0.12928498,0,0
2558,0,0.09582654,0,0
2559,0,0.17019004,0,0
2560,0,0.55218834,1,1
2561,1,0.5510787,1,0
2669,0,0.10848562,0,0
2670,0,0.056643993,0,0
2671,1,0.088356405,0,1
2672,0,0.046758585,0,0
2673,0,0.14450157,0,0
2674,0,0.19833438,0,0
2675,0,0.29446363,0,0
2676,0,0.15238146,0,0
2677,0,0.17889018,0,0
2678,0,0.19496824,0,0
2679,0,0.092224956,0,0
2680,0,0.40458414,1,1
2681,0,0.04902415,0,0
2682,0,0.22705552,0,0
2683,0,0.3828687,1,1
2754,0,0.51248485,1,1
2825,0,0.22190103,0,0
2826,0,0.30421388,0,0
2827,0,0.2947093,0,0
2828,0,0.26690274,0,0
2829,0,0.111437425,0,0
2830,0,0.101204306,0,0
2831,0,0.068514116,0,0
2832,0,0.12321704,0,0
2833,0,0.23058392,0,0
2834,0,0.09942198,0,0
2835,0,0.06560234,0,0
2836,0,0.07869906,0,0
2837,0,0.0441099,0,0
2838,0,0.04762335,0,0
2839,0,0.120987624,0,0
2840,0,0.31565097,1,1
4149,0,0.16349114,0,0
4150,1,0.94833404,1,0
4151,1,0.51917267,1,0
4152,1,0.31872737,1,0
4153,1,0.3564618,1,0
4154,1,0.9314925,1,0
4155,1,0.5188337,1,0
4156,1,0.25525862,0,1
1883,0,0.33997262,1,1
1884,1,0.67854834,1,0
1885,0,0.21443412,0,0
1886,0,0.16837001,0,0
1887,0,0.18671854,0,0
1888,0,0.09734204,0,0
1889,1,0.30867717,1,0
1890,0,0.094752625,0,0
1891,1,0.23931459,0,1
1892,0,0.40149826,1,1
1893,1,0.2265852,0,1
1894,0,0.625475,1,1
1895,0,0.21298864,0,0
1896,0,0.29187158,0,0
1897,0,0.20196348,0,0
1898,0,0.108978085,0,0
1899,0,0.30666733,1,1
1920,1,0.2189873,0,1
1921,0,0.10723472,0,0
1922,1,0.067814134,0,1
1923,0,0.15935342,0,0
1924,1,0.6501668,1,0
1925,1,0.52995163,1,0
1926,1,0.7862771,1,0
1927,1,0.64571565,1,0
1928,1,0.7830519,1,0
1929,1,0.21750943,0,1
1930,1,0.66168845,1,0
1931,0,0.46042484,1,1
1950,0,0.31431648,1,1
1951,1,0.5293016,1,0
1952,1,0.48277864,1,0
1953,1,0.7315853,1,0
1954,1,0.1801714,0,1
1955,0,0.2032486,0,0
1956,1,0.51250696,1,0
1957,1,0.5851574,1,0
1958,1,0.16089207,0,1
1959,1,0.44358262,1,0
1960,1,0.21664695,0,1
1961,0,0.08307867,0,0
1982,0,0.3368966,1,1
1983,1,0.34366792,1,0
1984,0,0.12667778,0,0
1985,0,0.5904437,1,1
1986,0,0.09126972,0,0
1987,0,0.097737186,0,0
1988,0,0.21843117,0,0
1989,0,0.17195708,0,0
1990,0,0.14020498,0,0
1991,0,0.23609307,0,0
1992,0,0.12681718,0,0
1993,0,0.15038916,0,0
1994,0,0.060444724,0,0
1995,0,0.49193698,1,1
1996,0,0.7643674,1,1
1997,1,0.6237719,1,0
1998,0,0.3252301,1,1
3415,1,0.2688195,0,1
3416,0,0.083099194,0,0
3417,0,0.44094408,1,1
3418,0,0.389152,1,1
3419,0,0.29016954,0,0
3420,0,0.21169858,0,0
3421,1,0.6741474,1,0
3422,1,0.29385158,0,1
3423,1,0.14002174,0,1
3432,1,0.3543429,1,0
3433,0,0.20278767,0,0
3434,0,0.16688707,0,0
3435,0,0.1429691,0,0
3436,0,0.41917852,1,1
3437,0,0.2946014,0,0
3438,1,0.3146953,1,0
3439,0,0.10470346,0,0
3440,1,0.31414545,1,0
4093,0,0.17106023,0,0
4094,0,0.13558929,0,0
4095,0,0.20757465,0,0
4096,0,0.114595085,0,0
4097,0,0.10581859,0,0
4098,0,0.054762647,0,0
4099,0,0.14333646,0,0
4100,0,0.20106521,0,0
4101,0,0.21242687,0,0
4102,0,0.24869406,0,0
4103,0,0.13447516,0,0
4108,0,0.066062205,0,0
4109,0,0.08303399,0,0
4110,0,0.13204435,0,0
4111,0,0.5483406,1,1
4112,0,0.30027816,0,0
4113,0,0.52741253,1,1
4114,1,0.8431012,1,0
4115,0,0.38180116,1,1
4116,0,0.26867723,0,0
4117,0,0.71646243,1,1
4118,0,0.18278061,0,0
71,1,0.13635969,0,1
72,1,0.47956246,1,0
73,0,0.1538114,0,0
74,0,0.124222204,0,0
75,0,0.34374315,1,1
76,0,0.33650318,1,1
77,0,0.36829227,1,1
78,0,0.11863596,0,0
79,0,0.26800495,0,0
80,0,0.40490773,1,1
81,0,0.2684656,0,0
82,0,0.40054923,1,1
83,0,0.46071276,1,1
84,1,0.21588047,0,1
85,1,0.15288101,0,1
86,1,0.38180107,1,0
87,1,0.4627577,1,0
88,1,0.22984803,0,1
89,1,0.6687974,1,0
90,1,0.6052245,1,0
91,1,0.6027742,1,0
92,1,0.7665748,1,0
93,1,0.7868403,1,0
