plot_id,true_label,prob_class_1,thresholded_label,thresholded_misclassified
343,0,0.23299326,0,0
4100,0,0.24341159,0,0
1253,0,0.037916396,0,0
3831,0,0.17175019,0,0
4446,1,0.69411916,1,0
1108,0,0.11235754,0,0
1288,0,0.21978514,0,0
4783,1,0.3245954,0,1
2690,1,0.5447991,1,0
578,1,0.5667755,1,0
1130,0,0.45087466,1,1
1133,0,0.2551517,0,0
3725,1,0.6380774,1,0
4828,0,0.21429034,0,0
3395,1,0.4369641,1,0
3418,0,0.24801262,0,0
940,0,0.58059454,1,1
4837,1,0.5104675,1,0
4223,0,0.42824924,1,1
3101,1,0.23279315,0,1
2376,0,0.09290063,0,0
2212,1,0.38730463,1,0
2719,0,0.30350992,0,0
3114,0,0.6141388,1,1
4265,0,0.15511869,0,0
3297,1,0.39429063,1,0
2312,0,0.07417508,0,0
3863,0,0.2647105,0,0
2644,0,0.23049416,0,0
3183,0,0.07659637,0,0
4759,0,0.6108567,1,1
2125,0,0.5759835,1,1
2869,1,0.5208082,1,0
3769,1,0.5449625,1,0
4076,0,0.49660847,1,1
1318,0,0.30463603,0,0
510,0,0.05708076,0,0
2528,1,0.51582646,1,0
1738,0,0.28888354,0,0
4203,0,0.21808302,0,0
1360,0,0.3051447,0,0
2048,0,0.17425075,0,0
2720,0,0.47965133,1,1
2493,1,0.75737256,1,0
2867,1,0.2868937,0,1
179,1,0.64035547,1,0
119,0,0.32770544,0,0
3603,0,0.16861449,0,0
1964,1,0.6053697,1,0
2865,0,0.3321894,0,0
3658,1,0.55729973,1,0
3653,1,0.3075102,0,1
2438,1,0.13933623,0,1
4283,0,0.21888459,0,0
3803,0,0.6087406,1,1
2736,1,0.287018,0,1
2401,1,0.17516215,0,1
2870,0,0.42758736,1,1
3377,1,0.2426638,0,1
4129,0,0.23065676,0,0
686,0,0.2832862,0,0
4768,0,0.42197058,1,1
2571,1,0.55268043,1,0
902,0,0.3586954,1,1
1406,0,0.28191322,0,0
3760,1,0.7464926,1,0
3077,0,0.38176447,1,1
602,0,0.22332095,0,0
4376,0,0.20846479,0,0
2170,0,0.2701478,0,0
3140,1,0.5357745,1,0
621,0,0.06907847,0,0
1989,0,0.21030857,0,0
2555,1,0.5252082,1,0
3539,1,0.81155217,1,0
1109,0,0.35542747,1,1
4860,0,0.52773106,1,1
2952,1,0.30610397,0,1
1846,0,0.35672754,1,1
1050,0,0.1536631,0,0
2348,0,0.28601706,0,0
4581,0,0.45034027,1,1
4726,0,0.2280153,0,0
2975,1,0.639527,1,0
258,0,0.25461668,0,0
3815,0,0.20738494,0,0
2083,0,0.21417032,0,0
765,0,0.070886426,0,0
1892,0,0.34262666,0,0
2275,0,0.20405586,0,0
2461,0,0.6507133,1,1
4323,0,0.1651009,0,0
4780,1,0.21485558,0,1
2240,0,0.31170133,0,0
2377,0,0.07029985,0,0
618,0,0.14477254,0,0
446,1,0.37872696,1,0
1011,0,0.32980615,0,0
3227,0,0.66612107,1,1
4139,1,0.23437344,0,1
4288,0,0.12731047,0,0
4593,0,0.12449343,0,0
3373,0,0.5807605,1,1
1527,0,0.20298074,0,0
1949,1,0.39409316,1,0
3588,0,0.30591133,0,0
4275,0,0.38184246,1,1
131,0,0.15984768,0,0
856,0,0.29419073,0,0
2332,1,0.34268305,0,1
4087,1,0.32145065,0,1
3597,0,0.36437845,1,1
173,1,0.33804137,0,1
972,1,0.2981068,0,1
4055,0,0.23859237,0,0
3078,1,0.6792897,1,0
1739,0,0.14625733,0,0
4825,0,0.18905959,0,0
2213,0,0.4224337,1,1
3218,0,0.1232771,0,0
3645,1,0.51186085,1,0
2122,1,0.3838883,1,0
3867,0,0.26652688,0,0
3895,0,0.20544931,0,0
2027,0,0.10855941,0,0
3840,0,0.2455317,0,0
1767,0,0.21790195,0,0
4127,0,0.19518992,0,0
1004,0,0.17096329,0,0
2883,1,0.22898318,0,1
3481,1,0.72855294,1,0
1264,0,0.06644048,0,0
463,0,0.19614409,0,0
904,0,0.29531214,0,0
500,0,0.1990774,0,0
3810,0,0.16196826,0,0
525,0,0.13274463,0,0
2917,1,0.1509108,0,1
4220,1,0.3625696,1,0
96,1,0.76717955,1,0
2168,0,0.09932011,0,0
771,0,0.1533724,0,0
4758,0,0.18356943,0,0
485,0,0.4390312,1,1
699,0,0.45176002,1,1
195,0,0.47179025,1,1
3631,0,0.26846948,0,0
944,1,0.33684778,0,1
4149,0,0.09150507,0,0
2899,0,0.46747124,1,1
2721,0,0.13686119,0,0
1270,0,0.18539369,0,0
648,0,0.18787202,0,0
2211,1,0.44360024,1,0
1344,0,0.6441094,1,1
4193,1,0.2862905,0,1
2959,1,0.20654343,0,1
1528,0,0.13117194,0,0
3059,1,0.28370064,0,1
4575,0,0.23117667,0,0
