threshold,youden_j,gmean
0.555,0.09450819546737876,0.3697930985426717
0.55,0.09500622967705966,0.37362242929143274
0.545,0.09695043284782082,0.3788827744304193
0.54,0.09803930900728014,0.3826846668970157
0.535,0.10520828198594964,0.39229620224698797
0.525,0.11257986819941085,0.4049822887393733
0.52,0.12290566416176424,0.41782835939048224
0.515,0.12629603629360558,0.42369168756921366
0.51,0.130837156411638,0.43068988410706194
0.505,0.13275042366903334,0.43596813185047856
0.5,0.1306206050180771,0.43736247110205734
0.495,0.13342013520014007,0.44268556820312743
0.49,0.133918169409821,0.4455438215505593
0.485,0.13264367777016656,0.44792644006304994
0.48,0.13396610307778342,0.45264879753251397
0.475,0.1379163812460374,0.4587770657607891
0.47,0.13923880655365428,0.46328247030455705
0.465,0.14091852466289204,0.4661683096981594
0.46,0.13704711607596637,0.4659702751806383
0.455,0.13955122528314012,0.47060151335273537
0.45,0.14090458650412283,0.4740720528321411
0.445,0.14455944369748758,0.47961294105296715
0.44,0.1519619658243146,0.48825209540425435
0.435,0.15384429716834405,0.49303536244467816
0.43,0.15950522935920164,0.5001372380340897
0.425,0.1645753196002808,0.5069029856105367
0.42,0.16586680899453182,0.5111269204206802
0.415,0.16603848631595766,0.5136755822014948
0.41,0.1676872685118296,0.5166181600175291
0.405,0.16986502083074828,0.5208615379353916
0.4,0.176645765094431,0.5287057538147653
0.395,0.18201127631039937,0.5348063360192811
0.39,0.1833027657046504,0.5384151979734167
0.385,0.1816709812633751,0.5404680682822
0.38,0.1818117226714351,0.5430192516708728
0.375,0.18797068907197362,0.5503554742885173
0.37,0.1875205885302552,0.5525033530757287
0.365,0.18913843481276127,0.5552903990749822
0.36,0.19388216816558532,0.5608062714205825
0.355,0.1928721615874543,0.5621071615756994
0.35,0.20113001072558315,0.5690301632052128
0.345,0.2116584199227282,0.5777335615847441
0.34,0.2106484133445972,0.5787929390833284
0.335,0.20878307975516436,0.5791443624673908
0.33,0.21316952030636752,0.5844421256717981
0.325,0.21729147579604732,0.5891146525869466
0.32,0.221444367199093,0.5933400322570259
0.315,0.22444651061594761,0.5967060287335864
0.31,0.22538070720857778,0.5991224440867097
0.305,0.22345350179241324,0.5995376529151623
0.3,0.22093545442647028,0.5996346069936778
0.295,0.22015899699649671,0.6005868720872435
0.29,0.22829310248116225,0.6067295206713147
0.285,0.22952272004868157,0.608635773846364
0.28,0.23334925456347216,0.6118518012533863
0.275,0.23664681895521605,0.6144144949192165
0.27,0.24185765060435516,0.6183013008497804
0.265,0.23815791933885538,0.6171001496161267
0.26,0.24520314866406145,0.6212944298043243
0.255,0.2513002432378682,0.6250046701156274
0.25,0.25358780105148104,0.6265960696892184
0.245,0.2599803166001772,0.6299775656672534
0.24,0.26351143014007855,0.6317294684054106
0.235,0.26441469081934277,0.6320132703304349
0.23,0.2649606586969861,0.631858069336561
0.225,0.2649776564515828,0.6313222387954419
0.22,0.25976988439827103,0.6280605797388261
0.215,0.2568945442307071,0.6258205676168891
0.21,0.2536619112615224,0.6229804422116275
0.205,0.25025760097091176,0.6203898426651874
0.2,0.2487974938510622,0.6181786785885848
0.195,0.24819271374251456,0.6160773987618575
0.19,0.24561279454983997,0.6131816137960704
0.185,0.24730951041367438,0.6115994992423872
0.18,0.25225585700129016,0.611759561924856
0.175,0.24721976226940412,0.6059414967557688
0.17,0.24083030631653557,0.6000930838155102
