plot_id,tree_count_actual,tree_count_predicted,residual
1749,2.0,1.7641048,0.23589515686035156
2268,1.0,0.8159487,0.1840512752532959
3262,1.0,2.4123452,-1.4123451709747314
2099,2.0,3.0109193,-1.0109193325042725
4064,2.0,1.9092903,0.09070968627929688
544,0.0,1.7116034,-1.7116034030914307
2423,0.0,2.2862983,-2.2862982749938965
1155,0.0,0.6622419,-0.6622418761253357
225,7.0,4.6886916,2.3113083839416504
2582,0.0,1.2294883,-1.2294882535934448
2425,0.0,1.7956808,-1.7956807613372803
348,1.0,5.0677495,-4.067749500274658
3683,4.0,4.3590145,-0.35901451110839844
2658,0.0,1.560487,-1.5604870319366455
4262,0.0,0.50798297,-0.5079829692840576
3363,0.0,1.677436,-1.6774359941482544
4228,0.0,3.2900074,-3.2900073528289795
907,1.0,0.9712543,0.028745710849761963
1584,2.0,5.1195173,-3.1195173263549805
4588,2.0,3.2923694,-1.2923693656921387
2873,0.0,2.9831603,-2.9831602573394775
2138,6.0,2.6996036,3.30039644241333
1271,3.0,3.9547591,-0.9547591209411621
50,0.0,0.5765675,-0.5765674710273743
343,2.0,2.7008276,-0.7008275985717773
4100,0.0,1.3483403,-1.3483402729034424
1253,0.0,0.4861779,-0.48617789149284363
3831,0.0,0.49870077,-0.4987007677555084
4446,4.0,5.749406,-1.749405860900879
1108,0.0,0.65768754,-0.6576875448226929
1288,0.0,3.3070068,-3.3070068359375
4783,1.0,1.1311136,-0.13111364841461182
2690,4.0,1.9360396,2.0639604330062866
578,5.0,3.8661048,1.1338951587677002
1130,0.0,1.0152736,-1.0152735710144043
1133,0.0,0.5195601,-0.5195600986480713
3725,2.0,2.5756245,-0.5756244659423828
4828,0.0,1.6842211,-1.6842211484909058
3395,3.0,2.2246087,0.7753913402557373
3418,0.0,1.1974685,-1.1974685192108154
940,0.0,5.1182013,-5.11820125579834
4837,8.0,4.0600777,3.939922332763672
4223,3.0,1.8141716,1.185828447341919
3101,1.0,1.9034698,-0.9034698009490967
2376,0.0,0.5276799,-0.5276799201965332
2212,0.0,4.179617,-4.179616928100586
2719,1.0,1.7267804,-0.7267804145812988
3114,14.0,5.5052,8.494800090789795
4265,0.0,0.49340913,-0.493409126996994
3297,1.0,2.9278674,-1.9278674125671387
2312,0.0,1.2328825,-1.2328824996948242
3863,0.0,1.2429415,-1.2429414987564087
2644,1.0,0.9141355,0.08586448431015015
3183,0.0,0.79208636,-0.7920863628387451
4759,2.0,2.7536166,-0.7536165714263916
2125,0.0,2.6928275,-2.6928274631500244
2869,2.0,1.6564307,0.343569278717041
3769,10.0,3.8208642,6.179135799407959
4076,7.0,3.1355028,3.864497184753418
1318,0.0,2.786417,-2.786417007446289
510,4.0,0.75499153,3.2450084686279297
2528,0.0,1.227353,-1.2273529767990112
1738,0.0,0.78207105,-0.782071053981781
4203,0.0,2.4897616,-2.4897615909576416
1360,2.0,1.8487737,0.15122628211975098
2048,0.0,1.0267669,-1.0267668962478638
2720,0.0,1.3528702,-1.352870225906372
2493,2.0,2.023035,-0.023035049438476562
2867,1.0,1.38638,-0.3863799571990967
179,6.0,3.8230932,2.1769068241119385
119,3.0,3.179621,-0.17962098121643066
3603,1.0,1.252218,-0.25221800804138184
1964,1.0,0.531087,0.4689130187034607
2865,3.0,1.2056912,1.7943087816238403
3658,1.0,2.1579266,-1.1579265594482422
3653,0.0,1.6447035,-1.6447035074234009
2438,1.0,0.665199,0.3348010182380676
4283,0.0,0.5127384,-0.5127384066581726
3803,0.0,0.690937,-0.6909369826316833
2736,0.0,3.881866,-3.881865978240967
2401,0.0,0.8978116,-0.8978115916252136
2870,2.0,1.1933715,0.8066284656524658
3377,3.0,1.8859961,1.1140038967132568
4129,4.0,1.602922,2.397078037261963
686,1.0,1.2213702,-0.22137022018432617
4768,2.0,2.534065,-0.5340650081634521
2571,0.0,0.5285074,-0.52850741147995
902,0.0,0.8838058,-0.8838058114051819
1406,0.0,0.8409069,-0.8409069180488586
3760,0.0,2.173596,-2.173595905303955
3077,0.0,1.7829295,-1.782929539680481
602,0.0,2.4603484,-2.46034836769104
4376,0.0,1.5193236,-1.5193235874176025
2170,0.0,1.5825264,-1.582526445388794
3140,4.0,5.321909,-1.321908950805664
621,0.0,0.52163696,-0.521636962890625
1989,0.0,3.4625661,-3.4625661373138428
2555,0.0,1.9043343,-1.904334306716919
3539,3.0,5.327165,-2.327165126800537
1109,1.0,1.5045553,-0.504555344581604
4860,0.0,2.6305063,-2.6305062770843506
2952,0.0,1.7965006,-1.796500563621521
1846,0.0,1.8520883,-1.8520883321762085
1050,0.0,0.5770028,-0.5770028233528137
2348,0.0,1.1414528,-1.1414527893066406
4581,25.0,4.144393,20.85560703277588
4726,2.0,1.2715808,0.7284191846847534
2975,21.0,7.5161896,13.483810424804688
258,4.0,6.120492,-2.1204919815063477
3815,4.0,0.88057095,3.119429051876068
2083,8.0,1.828707,6.171293020248413
765,0.0,0.5026708,-0.5026708245277405
1892,7.0,2.3587458,4.641254186630249
2275,0.0,6.9124575,-6.912457466125488
2461,2.0,2.8738246,-0.8738245964050293
4323,0.0,0.48004147,-0.4800414741039276
4780,0.0,1.2655805,-1.2655805349349976
2240,9.0,4.4823513,4.517648696899414
2377,0.0,0.48004147,-0.4800414741039276
618,0.0,0.49340913,-0.493409126996994
446,1.0,4.1516814,-3.151681423187256
1011,0.0,1.9791731,-1.9791730642318726
3227,1.0,3.5050092,-2.505009174346924
4139,2.0,2.666838,-0.6668379306793213
4288,0.0,0.48004147,-0.4800414741039276
4593,0.0,1.1626307,-1.1626306772232056
3373,11.0,3.5438278,7.456172227859497
1527,7.0,1.3461217,5.653878331184387
1949,3.0,2.1916516,0.8083484172821045
3588,6.0,3.298116,2.7018840312957764
4275,0.0,0.48395148,-0.48395147919654846
131,1.0,7.1625915,-6.162591457366943
856,0.0,0.48395148,-0.48395147919654846
2332,8.0,2.9576142,5.042385816574097
4087,3.0,1.6680088,1.331991195678711
3597,1.0,0.67156273,0.32843726873397827
173,4.0,3.3504903,0.6495096683502197
972,1.0,1.2338095,-0.2338094711303711
4055,2.0,0.8663642,1.1336358189582825
